sigla,scioglimento,tipo,stato
S.ta V.,Serenità Vostra,collocazione,"proposta, da validare (I. Cecchini)"
S.tà V.,Serenità Vostra,collocazione,"proposta, da validare (I. Cecchini)"
s.tà V.,serenità Vostra,collocazione,"proposta, da validare (I. Cecchini)"
Ser.tà V.,Serenità Vostra,collocazione,"proposta, da validare (I. Cecchini)"
Ser.ta V.,Serenità Vostra,collocazione,"proposta, da validare (I. Cecchini)"
SS.VV.,Signorie Vostre,collocazione,"proposta, da validare (I. Cecchini)"
per c°,per cento,collocazione,"proposta, da validare (I. Cecchini)"
S.ta,Serenità,token,"proposta, da validare (I. Cecchini)"
S.tà,Serenità,token,"proposta, da validare (I. Cecchini)"
s.tà,serenità,token,"proposta, da validare (I. Cecchini)"
Ser.tà,Serenità,token,"proposta, da validare (I. Cecchini)"
Ser.ta,Serenità,token,"proposta, da validare (I. Cecchini)"
Ser.ma,Serenissima,token,"proposta, da validare (I. Cecchini)"
S.ma,Serenissima,token,"proposta, da validare (I. Cecchini)"
S.mo,Serenissimo,token,"proposta, da validare (I. Cecchini)"
Ecc.mo,Eccellentissimo,token,"proposta, da validare (I. Cecchini)"
ecc.mo,eccellentissimo,token,"proposta, da validare (I. Cecchini)"
Ecc.mi,Eccellentissimi,token,"proposta, da validare (I. Cecchini)"
Ecc.me,Eccellentissime,token,"proposta, da validare (I. Cecchini)"
ecc.me,eccellentissime,token,"proposta, da validare (I. Cecchini)"
Ecc.ze,Eccellenze,token,"proposta, da validare (I. Cecchini)"
Ill.mo,Illustrissimo,token,"proposta, da validare (I. Cecchini)"
ill.mo,illustrissimo,token,"proposta, da validare (I. Cecchini)"
Ill.mi,Illustrissimi,token,"proposta, da validare (I. Cecchini)"
Ill.me,Illustrissime,token,"proposta, da validare (I. Cecchini)"
Cl.mo,Clarissimo,token,"proposta, da validare (I. Cecchini)"
cl.mo,clarissimo,token,"proposta, da validare (I. Cecchini)"
Cl.mi,Clarissimi,token,"proposta, da validare (I. Cecchini)"
SS.rie,Signorie,token,"proposta, da validare (I. Cecchini)"
ss.rie,signorie,token,"proposta, da validare (I. Cecchini)"
ss.ri,signori,token,"proposta, da validare (I. Cecchini)"
s.r,signor,token,"proposta, da validare (I. Cecchini)"
Sig.ria,Signoria,token,"proposta, da validare (I. Cecchini)"
Prov.ri,Provveditori,token,"proposta, da validare (I. Cecchini)"
Gov.ri,Governatori,token,"proposta, da validare (I. Cecchini)"
Coll.o,Collegio,token,"proposta, da validare (I. Cecchini)"
supp.ne,supplicatione,token,"proposta, da validare (I. Cecchini)"
supp.ni,supplicationi,token,"proposta, da validare (I. Cecchini)"
supp.te,supplicante,token,"proposta, da validare (I. Cecchini)"
V.ra,Vostra,token,"proposta, da validare (I. Cecchini)"
sop.to,sopradetto,token,"proposta, da validare (I. Cecchini)"
sop.ta,sopradetta,token,"proposta, da validare (I. Cecchini)"
sop.ti,sopradetti,token,"proposta, da validare (I. Cecchini)"
p.to,predetto,token,"proposta, da validare (I. Cecchini)"
p.ti,predetti,token,"proposta, da validare (I. Cecchini)"
m.tia,mercantia,token,"proposta, da validare (I. Cecchini)"
m.ti,mercanti,token,"proposta, da validare (I. Cecchini)"
Xmbre,decembre,token,"proposta, da validare (I. Cecchini)"
Xmb.,decembre,token,"proposta, da validare (I. Cecchini)"
succ.ri,successori,token,"proposta, da validare (I. Cecchini)"
fabricat.ni,fabricationi,token,"proposta, da validare (I. Cecchini)"
q.,quondam,token,"proposta, da validare (I. Cecchini)"
