value,definition
citizenship_privilege,Citizenship grants and privileges (cittadinanza de intus / de extra)
consular_affairs,Consular appointments tariffs and jurisdiction
currency_monetary,Currency exchange and monetary stability
taxation_customs,"Duties, customs and fiscal levies (datij, gravezze)"
shipping_navigation,Shipping convoys and navigation
trade_regulation,Regulation of trades and commerce
manufactures,Manufactures and production
minorities_governance,Governance of foreign and minority communities
credit_bankruptcy,Credit banking and bankruptcy
institutional_procedure,Internal institutional procedure
